VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;RESULTADO;DIF. SALDOS
1;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
2;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
3;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
4;CIUDAD DE DIOS LUJAN;USD;Cambiado;Cambiado;0;0;OK;0
5;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
6;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;1794.09;1794.09;OK;0
7;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
8;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
9;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
10;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
11;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
12;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
13;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
14;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;2.77;2.77;OK;0
15;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
16;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
17;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
18;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
19;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
20;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
21;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
22;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
23;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
24;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
25;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
26;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
27;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
28;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
29;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
30;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
31;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
32;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
33;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
34;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
35;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
36;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
37;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
38;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
39;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
40;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
41;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
42;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
43;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
44;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
45;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
46;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
47;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
48;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
49;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
50;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
51;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
52;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
53;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
54;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
