VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
1324;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;34626.52;34626.52;OK;0
1341;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;14624.76;14624.76;OK;0
1342;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;21644.89;21644.89;OK;0
1343;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;44107.28;44107.28;OK;0
1344;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38707.16;38707.16;OK;0
1345;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;19768.23;19768.23;OK;0
1346;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;16433.23;16433.23;OK;0
1347;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;17041.55;17041.55;OK;0
1356;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;18404.57;18404.57;OK;0
1357;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38814.17;38814.17;OK;0
1358;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38924.22;38924.22;OK;0
1359;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;27573.42;27573.42;OK;0
1360;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;15299.76;15299.76;OK;0
1361;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;35197.6;35197.6;OK;0
1362;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;17041.55;17041.55;OK;0
1363;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;15899.92;15899.92;OK;0
1364;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;15899.92;15899.92;OK;0
1365;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;25633.8;25633.8;OK;0
1367;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38920.22;38920.22;OK;0
1368;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38814.17;38814.17;OK;0
1369;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38707.16;38707.16;OK;0
1390;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;31016.24;31016.24;OK;0
1391;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;14732.89;14732.89;OK;0
1392;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;36635.58;36635.58;OK;0
1393;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;27536.54;27536.54;OK;0
1395;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;38066.6;38066.6;OK;0
1396;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;20644.89;20644.89;OK;0
1397;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;15968.54;15968.54;OK;0
1398;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;20915.82;20915.82;OK;0
1399;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;16999.9;16999.9;OK;0
1400;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;33794.56;33794.56;OK;0
1401;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;42835.6;42835.6;OK;0
1404;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;33009.3;33009.3;OK;0
1405;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;35046.23;35046.23;OK;0
1406;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;22598.22;22598.22;OK;0
1407;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
1408;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;29174.74;29174.74;OK;0
1409;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;40375;40375;OK;0
1410;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;19239.88;19239.88;OK;0
1411;CIUDAD DE DIOS NORTE;BS;Fusionado;Pendiente;40873.28;40873.28;OK;0
1412;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;42776.62;42776.62;OK;0
1413;CIUDAD DE DIOS NORTE;BS;Fusionado;Pendiente;42776.62;42776.62;OK;0
1414;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;30114.06;29864.06;ERROR;250
1425;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;23245.56;23245.56;OK;0
1426;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;25694.89;25694.89;OK;0
1427;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;25694.89;25694.89;OK;0
1428;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;31483.8;31233.8;ERROR;250
1429;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46457.7;46457.7;OK;0
1430;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;25840.75;25840.75;OK;0
1431;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;15800;15800;OK;0
1432;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;24743.22;24743.22;OK;0
1443;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;15866.23;15866.23;OK;0
1444;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;28889.51;28889.51;OK;0
1445;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;26553.47;26553.47;OK;0
1446;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
1447;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;23987.34;23847.34;ERROR;140
1458;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;39324.95;39324.95;OK;0
1459;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;19667.1;19667.1;OK;0
1460;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;37134.42;37134.42;OK;0
1468;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;15299.89;15299.89;OK;0
1494;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;17723.22;17723.22;OK;0
1501;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;26276.96;26276.96;OK;0
1504;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
1532;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;0;OK;0
1533;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;21093.22;20843.22;ERROR;250
