VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
1743;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1744;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1745;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;5600.81;5600.8;OK;0.01
1746;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1747;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1748;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1749;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1750;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;2493.09;2493.08;OK;0.01
1751;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1752;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1753;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1754;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1755;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1756;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1981.55;1981.57;OK;-0.02
1757;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;871.32;871.3;OK;0.02
1758;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1759;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1760;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1761;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1762;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1763;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1764;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1765;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1766;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1767;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1768;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;3313.5;3313.5;OK;0
1769;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1770;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1771;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1772;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1773;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1774;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;871.32;871.3;OK;0.02
1775;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;0
1776;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1615.42;1616.67;ERROR;1
1777;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;8.32;ERROR;1
1778;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1779;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1142.47;1975.74;ERROR;1
1780;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1781;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1782;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1783;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1784;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;208;ERROR;1
1834;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1835;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1873;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;3900;3900;OK;
1874;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1875;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;245.41;232.81;ERROR;1
1876;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1877;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;2823.36;2823.38;OK;
1878;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;4086.97;4086.96;OK;
1879;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1880;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1206.76;2999.58;ERROR;1
1881;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;0;0;OK;
1882;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1883;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;-0.01;0;OK;
1884;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1102.87;1102.92;OK;
1885;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0.04;OK;
1886;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1887;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1888;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1312.33;1312.33;OK;
1889;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1395.52;1395.52;OK;
1890;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;2302.05;2302.02;OK;
1891;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1264.76;1264.72;OK;
1892;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;2079.1;2079.1;OK;
1893;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3448.85;3448.88;OK;
1894;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1895;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;2680.63;2680.64;OK;
1896;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;701.98;701.97;OK;
1897;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1898;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1899;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1900;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;2.58;ERROR;1
1901;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1902;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1677.87;1677.87;OK;
1903;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1792.16;1792.16;OK;
1904;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1556.86;1556.84;OK;
1905;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3452.1;3452.12;OK;
1906;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;2657.99;2658.93;OK;
1907;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1908;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1909;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;792.59;792.59;OK;
1910;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;2793.62;2793.61;OK;
1911;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;1042.2;1042.2;OK;
1912;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1913;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1611.9;1611.9;OK;
1914;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;2921.64;2921.64;OK;
1915;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1916;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1917;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;904.12;904.11;OK;
1918;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1919;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1920;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1921;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1922;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1923;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;2571.11;2571.13;OK;
1924;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;4468.52;4469.49;OK;
1925;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1926;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1833.57;1833.57;OK;
1927;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;308.67;310.8;ERROR;1
1928;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1929;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1930;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1931;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;0;0;OK;
1938;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;0;0;OK;
1945;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1956;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3254.11;3254.14;OK;
1957;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
1958;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;0;0;OK;
