"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"7730";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7731";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7732";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7733";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"14467.15";"14467.15";"OK";""
"7734";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"4966.43";"4966.43";"OK";""
"7735";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"16210.1";"16210.1";"OK";""
"7736";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"19022.04";"19022.04";"OK";""
"7737";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"4990.4";"4990.4";"OK";""
"7738";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"14736.51";"14736.51";"OK";""
"7739";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"16006.59";"16006.59";"OK";""
"7740";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"16618.35";"16618.35";"OK";""
"7741";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"16875.37";"16875.37";"OK";""
"7742";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"34120.48";"34120.48";"OK";""
"7743";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"27869.2";"27869.2";"OK";""
"7744";"DUNAS DEL URUBO";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7745";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"17271.35";"17271.35";"OK";""
"7746";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"16090.4";"16090.4";"OK";""
"7747";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"28938.45";"28938.45";"OK";""
"7748";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18785.94";"18785.94";"OK";""
"7749";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"14671.64";"14671.64";"OK";""
"7750";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"14671.64";"14671.64";"OK";""
"7751";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"16568.24";"16568.24";"OK";""
"7752";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20178.81";"20178.81";"OK";""
"7753";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18754.36";"18754.36";"OK";""
"7754";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21218.07";"21218.07";"OK";""
"7755";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"23583.42";"23583.42";"OK";""
"7756";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21268.91";"21268.91";"OK";""
"7757";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"26679.59";"26679.59";"OK";""
"7758";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"15993.76";"15993.76";"OK";""
"7759";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"15993.76";"15993.76";"OK";""
"7760";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7761";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"17227.37";"17227.37";"OK";""
"7762";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"0";"0";"OK";""
"7763";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"29795.04";"29795.04";"OK";""
"7764";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21993.1";"21993.1";"OK";""
"7765";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7766";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7767";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7768";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7769";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7770";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"16138.72";"16138.72";"OK";""
"7771";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"17013.86";"17013.86";"OK";""
"7772";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"24441.22";"24441.22";"OK";""
"7773";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"17933.2";"17933.2";"OK";""
