"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"8612";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8544.84";"8544.84";"OK";""
"8613";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10355.9";"10355.9";"OK";""
"8614";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9175.4";"9175.4";"OK";""
"8615";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8616";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9781.3";"9781.3";"OK";""
"8617";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14637.42";"14637.42";"OK";""
"8618";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14675.2";"14675.2";"OK";""
"8619";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12515.06";"12515.06";"OK";""
"8620";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10835.43";"10835.43";"OK";""
"8621";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13040.56";"13040.56";"OK";""
"8622";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10047.08";"10047.08";"OK";""
"8623";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"12372.18";"12372.18";"OK";""
"8624";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10601.76";"10601.76";"OK";""
"8625";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11849.04";"11849.04";"OK";""
"8626";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8988.88";"8988.88";"OK";""
"8627";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8988.88";"8988.88";"OK";""
"8628";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8988.88";"8988.88";"OK";""
"8629";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11155.9";"11155.9";"OK";""
"8630";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"11379.86";"11379.86";"OK";""
"8631";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10088.15";"10088.15";"OK";""
"8632";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8049.24";"8049.24";"OK";""
"8633";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"9501.87";"9501.87";"OK";""
"8634";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8635";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7735.09";"7735.09";"OK";""
"8636";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8637";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8326.77";"8326.77";"OK";""
"8638";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13379.55";"13379.55";"OK";""
"8639";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10767.62";"10767.62";"OK";""
"8640";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9778.97";"9778.97";"OK";""
"8641";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9220.67";"9220.67";"OK";""
"8642";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9600.05";"9600.05";"OK";""
"8643";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9714.51";"9714.51";"OK";""
"8644";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8232.93";"8232.93";"OK";""
"8645";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8624.88";"8624.88";"OK";""
"8646";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8232.93";"8232.93";"OK";""
"8647";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"13948.38";"13948.38";"OK";""
"8648";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"10848.44";"10848.44";"OK";""
